DIARIO DELLE NUOVE ENTRATE
[21/04/2026 23:45] NUOVA: +5
[21/04/2026 23:45] NUOVA: -4
[21/04/2026 23:45] NUOVA: -12
[21/04/2026 23:45] NUOVA: -2
[21/04/2026 23:45] NUOVA: +2
[21/04/2026 23:45] NUOVA: -1
[21/04/2026 23:45] NUOVA: -10
[21/04/2026 23:45] NUOVA: +1
[21/04/2026 23:45] NUOVA: +6
[21/04/2026 23:45] NUOVA: +4
[21/04/2026 23:45] NUOVA: -5
[21/04/2026 23:45] NUOVA: -15
[21/04/2026 23:45] NUOVA: -3
[21/04/2026 23:45] NUOVA: +8
[21/04/2026 23:45] NUOVA: +3
[21/04/2026 23:45] NUOVA: +64
[21/04/2026 23:45] NUOVA: +7
[21/04/2026 23:45] NUOVA: -13
[21/04/2026 23:45] NUOVA: =
[21/04/2026 23:45] NUOVA: +9
[21/04/2026 23:45] NUOVA: -8
[21/04/2026 23:45] NUOVA: -11
[21/04/2026 23:45] NUOVA: +31
[21/04/2026 23:45] NUOVA: +15
[21/04/2026 23:45] NUOVA: -6
